,wine,wine_id,appellation,color,regions,country,vintage,is_primeurs,score,confidence_index,journalist_count,avgPrcpFebruary,avgTempFebruary,avgPrcpMarch,avgTempMarch,avgPrcpApril,avgTempApril,avgPrcpMay,avgTempMay,avgPrcpJune,avgTempJune,avgPrcpJuly,avgTempJuly,avgPrcpAugust,avgTempAugust,avgPrcpSeptember,avgTempSeptember,avgPrcpOctober,avgTempOctober
63,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,California,Usa,1978,False,92.34,A+,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
65,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,California,Usa,2016,False,97.34,B+,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
66,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,2015,False,95.71,B+,5,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
67,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,California,Usa,2013,False,93.66,B,6,0.020147058823529386,49,0.033934426229508166,54,0.06555555555555563,60,0.007536231884057966,62,0.03311475409836065,65,0.0,65,0.0,66,0.03941176470588239,66,0.0,59
68,"Araujo Estate, Eisele Vineyard Syrah, Napa Valley",5552,Napa Valley,Red,California,Usa,2001,False,93.51,A,3,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
69,"Continuum, Proprietary Red, Oakville",45683,Oakville,Red,California,Usa,2015,False,99.85,C,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
70,"Seavey Vineyard, Cabernet Sauvignon, Napa Valley",125854,Napa Valley,Red,California,Usa,2013,False,95.88,B,3,0.020147058823529386,49,0.033934426229508166,54,0.06555555555555563,60,0.007536231884057966,62,0.03311475409836065,65,0.0,65,0.0,66,0.03941176470588239,66,0.0,59
71,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,California,Usa,1995,False,92.7,C+,3,0.019285714285714288,53,0.3861290322580645,51,0.042,55,0.1,58,0.03,63,0.0,67,0.0,66,0.0,65,0.0,61
72,"Beringer Vineyards, Private Reserve Cabernet Sauvignon, Napa Valley",11029,Napa Valley,Red,California,Usa,1978,False,85.33,C,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
73,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,California,Usa,2005,False,93.61,C,5,0.14370370370370372,51,0.09724137931034482,55,0.052333333333333336,55,0.07645161290322583,60,0.03,63,0.0,67,0.0,65,0.0003333333333333333,62,0.021612903225806453,60
74,"Pahlmeyer, Proprietary Red, Napa Valley",111900,Napa Valley,Red,California,Usa,2015,False,94.41,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
75,"Verite, La Joie, Sonoma County",139098,Sonoma County,Red,California,Usa,2008,False,93.43,C+,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
76,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,California,Usa,2015,False,95.1,B,4,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
77,"Chateau Montelena The Montelena Estate, Cabernet Sauvignon, Napa Valley",39438,Napa Valley,Red,California,Usa,2005,False,91.41,C,7,0.14370370370370372,51,0.09724137931034482,55,0.052333333333333336,55,0.07645161290322583,60,0.03,63,0.0,67,0.0,65,0.0003333333333333333,62,0.021612903225806453,60
80,"Gallica, Cabernet Sauvignon, Oakville",77600,Oakville,Red,California,Usa,2010,False,93.32,B,10,0.15484848484848493,50,0.1002777777777778,51,0.19445255474452566,53,0.04602094240837691,56,0.0,65,0.0,63,0.0,64,0.0,66,0.21664772727272646,60
81,"Cain Vineyard & Winery, Cain Five, Spring Mountain District",23254,Spring Mountain District,Red,California,Usa,1997,False,91.99,B,7,0.016428571428571428,51,0.02774193548387097,54,0.019000000000000003,56,0.025483870967741937,63,0.007666666666666665,65,0.0,66,0.02645161290322581,67,0.001,67,0.042,59
82,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,California,Usa,1990,False,96.2,B,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
83,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,California,Usa,1999,False,92.45,B,4,0.3510714285714286,46,0.08709677419354839,48,0.096,54,0.004193548387096774,57,0.0,61,0.0,64,0.0,65,0.0013333333333333333,63,0.024193548387096774,60
84,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,California,Usa,2009,False,91.43,C+,3,0.4439999999999998,48,0.04934426229508194,52,0.05130000000000002,56,0.07499999999999997,60,0.0032967032967032967,62,0.0,64,0.0,66,0.009375,67,0.28377551020408165,60
85,"Mayacamas Vineyards, Cabernet Sauvignon, Napa Valley",103766,Napa Valley,Red,California,Usa,2006,False,87.42,C,4,0.1325,49,0.2712903225806452,47,0.19166666666666668,54,0.038387096774193545,60,0.0036666666666666666,66,0.0,68,0.0,63,0.0,63,0.02129032258064516,59
87,"Chappellet, Pritchard Hill Cabernet Sauvignon, Napa Valley",31619,Napa Valley,Red,California,Usa,2005,False,94.12,B+,3,0.14370370370370372,51,0.09724137931034482,55,0.052333333333333336,55,0.07645161290322583,60,0.03,63,0.0,67,0.0,65,0.0003333333333333333,62,0.021612903225806453,60
88,"Screaming Eagle, Cabernet Sauvignon, Napa Valley",125712,Napa Valley,Red,California,Usa,2012,False,98.98,A,8,0.09562500000000003,50,0.5148701298701301,50,0.3961111111111117,56,0.0,61,0.002891566265060241,63,0.0,65,0.0,65,0.0,62,0.07133333333333326,63
89,"Screaming Eagle, 'Second Flight', Napa Valley",125711,Napa Valley,Red,California,Usa,2012,False,94.47,A+,7,0.09562500000000003,50,0.5148701298701301,50,0.3961111111111117,56,0.0,61,0.002891566265060241,63,0.0,65,0.0,65,0.0,62,0.07133333333333326,63
90,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,2008,False,94.08,B+,6,0.1293670886075949,49,0.01153846153846154,52,0.006404494382022473,54,0.002637362637362637,60,0.0,64,0.0,66,0.0,68,0.0,65,0.019239130434782613,61
91,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,2004,False,93.39,B+,9,0.2374074074074074,49,0.02774193548387097,58,0.01172413793103448,58,0.0033333333333333327,60,0.0,65,0.0,66,0.0,68,0.004666666666666667,67,0.08,59
92,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1990,False,93.25,B,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
93,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1999,False,93.01,B,7,0.3510714285714286,46,0.08709677419354839,48,0.096,54,0.004193548387096774,57,0.0,61,0.0,64,0.0,65,0.0013333333333333333,63,0.024193548387096774,60
94,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1987,False,92.77,C+,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
95,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1994,False,91.67,C+,8,0.12928571428571428,47,0.0061290322580645155,54,0.04233333333333333,56,0.05064516129032258,59,0.0013333333333333333,63,0.0,63,0.0,66,0.0,64,0.04225806451612903,59
96,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,2006,False,91.26,B,8,0.1325,49,0.2712903225806452,47,0.19166666666666668,54,0.038387096774193545,60,0.0036666666666666666,66,0.0,68,0.0,63,0.0,63,0.02129032258064516,59
98,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1995,False,91.07,B+,7,0.019285714285714288,53,0.3861290322580645,51,0.042,55,0.1,58,0.03,63,0.0,67,0.0,66,0.0,65,0.0,61
99,"Opus One, Napa Valley",111085,Napa Valley,Red,California,Usa,1993,False,91.0,B+,5,0.2096428571428571,47,0.06709677419354837,55,0.051333333333333335,55,0.04428571428571428,59,0.02366666666666667,66,0.0,66,0.0,67,0.0,64,0.03709677419354839,61
